freq_injected_hz,peak_freq_meas_hz,peak_amp_dbm
10000000.0,10001882.47720375,-9.8738
20000000.0,19996685.350451183,-9.8659
30000000.0,30005527.42048287,-9.8544
40000000.0,40003806.72833409,-9.8428
50000000.0,50004093.95588046,-9.9134
60000000.0,60002746.228844,-9.9256
70000000.0,69994149.35812384,-9.9402
80000000.0,80007125.2574473,-9.9411
90000000.0,89997728.33886996,-9.9280
100000000.0,100005762.47871797,-9.9360
110000000.0,110006209.85431318,-9.9186
120000000.0,119998606.5051601,-9.9346
130000000.0,130007519.39070278,-9.9237
140000000.0,140006419.80109426,-9.9390
150000000.0,150002764.42701682,-9.9194
160000000.0,159996844.28693548,-9.9095
170000000.0,170003127.36859992,-9.9227
180000000.0,180006711.53749287,-9.9458
190000000.0,190001554.927979,-9.9459
200000000.0,200003874.62280843,-9.9297
210000000.0,210000014.5190831,-9.9442
220000000.0,219999242.02626678,-9.9235
230000000.0,230003035.59697893,-9.8934
240000000.0,240004634.31916967,-9.8904
250000000.0,249999373.13400146,-9.9176
260000000.0,259999393.0016296,-9.9152
270000000.0,270004567.5926917,-9.8982
280000000.0,280007579.8266037,-9.9068
290000000.0,289996470.35809976,-9.8975
300000000.0,300005672.0372584,-9.9025
310000000.0,310000754.3902055,-9.9016
320000000.0,320005450.12550056,-9.9066
330000000.0,329998043.8861152,-9.9099
340000000.0,340003979.1934979,-9.9182
350000000.0,349996876.938397,-9.9315
360000000.0,359995930.45145893,-9.9138
370000000.0,370008254.4551522,-9.9183
380000000.0,379990857.1174661,-9.9277
390000000.0,389993230.83920336,-9.9401
400000000.0,399996514.11856735,-9.9294
410000000.0,410000168.6845939,-9.9123
420000000.0,419991571.3280931,-9.8997
430000000.0,430002687.4862589,-9.9000
440000000.0,440003557.195552,-9.8838
450000000.0,449994152.4758391,-9.9156
460000000.0,459997724.6766411,-9.9090
470000000.0,470001314.9819433,-9.9048
480000000.0,479999142.0907786,-9.8905
490000000.0,490002414.0191357,-9.8844
500000000.0,499999154.4402102,-9.9051
510000000.0,510003631.91862875,-9.8820
520000000.0,520006737.8591673,-9.9058
530000000.0,530004479.881382,-9.9372
540000000.0,539999332.7765837,-9.9517
550000000.0,549996693.266186,-9.9297
560000000.0,560007006.3911978,-9.9299
570000000.0,569998022.2259806,-9.9210
580000000.0,580003339.7985765,-9.9136
590000000.0,589999944.1643106,-9.9038
600000000.0,599986095.087639,-9.9197
610000000.0,610002360.5931635,-9.9228
620000000.0,619990023.1196293,-9.9163
630000000.0,630002936.8706056,-9.9104
640000000.0,640009658.2624156,-9.9231
650000000.0,650003590.8482604,-9.9139
660000000.0,660007645.138981,-9.9331
670000000.0,669992181.6462396,-9.9241
680000000.0,679998423.1614054,-9.9097
690000000.0,690006009.0802834,-9.8938
700000000.0,699999054.7468055,-9.9040
710000000.0,709995306.8947114,-9.9101
720000000.0,719992957.390071,-9.9047
730000000.0,729998344.9188069,-9.9099
740000000.0,739990859.9798975,-9.9185
750000000.0,749989924.0974647,-9.8864
760000000.0,760000858.6676519,-9.8692
770000000.0,769996642.9164826,-9.8954
780000000.0,779994670.8658501,-9.9087
790000000.0,790003256.6474684,-9.9053
800000000.0,800003069.7650377,-9.8685
810000000.0,810002599.4651831,-9.9016
820000000.0,819995265.186396,-9.8784
830000000.0,830000540.1453958,-9.8670
840000000.0,840002473.1332618,-9.8747
850000000.0,849999481.3249621,-9.8792
860000000.0,860003490.0326965,-9.8963
870000000.0,869995160.5828217,-9.8876
880000000.0,880001031.7423086,-9.8913
890000000.0,889995400.9346486,-9.9008
900000000.0,899999545.9438673,-9.8922
910000000.0,909995775.9715126,-9.8496
920000000.0,920006260.803297,-9.9006
930000000.0,930000935.8198774,-9.9169
940000000.0,939996491.0891547,-9.8798
950000000.0,949996141.7207571,-9.8736
960000000.0,960006396.2586514,-9.9307
970000000.0,970004568.4315501,-9.9149
980000000.0,979996187.5594027,-9.8699
990000000.0,990003993.7097989,-9.8747
1000000000.0,1000001938.3862125,-9.9011
1010000000.0,1010000019.405506,-9.8721
1020000000.0,1019997409.3172828,-9.8779
1030000000.0,1029998399.1533105,-9.8752
1040000000.0,1040001535.3209631,-9.8777
1050000000.0,1050009564.4518713,-9.8786
1060000000.0,1060000103.2065204,-9.9150
1070000000.0,1070000623.7655025,-9.9051
1080000000.0,1080003594.4647925,-9.8468
1090000000.0,1089989110.8873677,-9.8254
1100000000.0,1100004911.4299195,-9.8800
1110000000.0,1109998952.1858058,-9.9208
1120000000.0,1120001060.5196645,-9.9222
1130000000.0,1130003455.3020928,-9.8862
1140000000.0,1139988680.7229123,-9.8854
1150000000.0,1150004676.0580184,-9.8852
1160000000.0,1159994352.722231,-9.8995
1170000000.0,1170001092.354829,-9.8976
1180000000.0,1179999418.8526928,-9.8961
1190000000.0,1189998904.485218,-9.9269
1200000000.0,1200010053.0785084,-9.8981
1210000000.0,1210002193.331736,-9.8986
1220000000.0,1219999100.187555,-9.8953
1230000000.0,1230000857.1424708,-9.9070
1240000000.0,1240002989.2453527,-9.9084
1250000000.0,1249985725.1456048,-9.8978
1260000000.0,1260004661.781205,-9.8679
1270000000.0,1269997728.2951026,-9.8870
1280000000.0,1280001037.778894,-9.9240
1290000000.0,1289995838.031881,-9.9331
1300000000.0,1300000778.9921637,-9.8974
1310000000.0,1310000748.6564202,-9.8835
1320000000.0,1319991576.0808551,-9.8920
1330000000.0,1329997741.9048398,-9.9044
1340000000.0,1339997019.6920352,-9.9031
1350000000.0,1349994158.7464175,-9.9033
1360000000.0,1360003871.10719,-9.9257
1370000000.0,1370001318.3008525,-9.9319
1380000000.0,1380005800.7916548,-9.9296
1390000000.0,1389997499.661254,-9.9221
1400000000.0,1399992772.0684488,-9.8964
1410000000.0,1409995994.6422064,-9.9126
1420000000.0,1419995711.7523575,-9.9143
1430000000.0,1429998317.506384,-9.8865
1440000000.0,1440007623.7306254,-9.8733
1450000000.0,1450000722.9968524,-9.8982
1460000000.0,1459991963.120465,-9.9057
1470000000.0,1469999183.9439414,-9.9094
1480000000.0,1479999640.5949683,-9.9047
1490000000.0,1489995103.716003,-9.9038
1500000000.0,1499995527.5473292,-9.9007
1510000000.0,1510007284.8770947,-9.9236
1520000000.0,1519999034.5628676,-9.9283
1530000000.0,1530006194.984415,-9.9118
1540000000.0,1540007295.5117927,-9.9110
1550000000.0,1549999488.2859876,-9.9191
1560000000.0,1559997246.4019263,-9.9269
1570000000.0,1569995223.6880476,-9.9272
1580000000.0,1579999709.3976266,-9.9367
1590000000.0,1589995511.385131,-9.9511
1600000000.0,1599997350.0976226,-9.9179
1610000000.0,1609995200.073878,-9.9036
1620000000.0,1620003025.3248606,-9.9043
1630000000.0,1630003135.9030702,-9.9150
1640000000.0,1640001462.1215186,-9.9261
1650000000.0,1650001450.253829,-9.9153
1660000000.0,1659999216.3198164,-9.9238
1670000000.0,1670000346.1684768,-9.9244
1680000000.0,1679999288.264624,-9.9370
1690000000.0,1689996226.993859,-9.9392
1700000000.0,1699999015.788763,-9.9299
1710000000.0,1709991779.7069404,-9.9234
1720000000.0,1719998395.282041,-9.9493
1730000000.0,1729994501.0927305,-9.9743
1740000000.0,1739996695.0728354,-9.9934
1750000000.0,1749992998.1109202,-9.9425
1760000000.0,1760003871.9170053,-9.9187
1770000000.0,1770006449.701873,-9.9199
1780000000.0,1779996166.9214084,-9.9397
1790000000.0,1789998653.784586,-9.9388
1800000000.0,1799999089.5111327,-9.9238
1810000000.0,1810008257.0806832,-9.9449
1820000000.0,1820004825.4151394,-9.9574
1830000000.0,1830004436.862,-9.9479
