sample_id,reason
sim_00200,ref global_offset too small
sim_00201,ref global_offset too small
sim_00205,ref global_offset too small
sim_00206,ref global_offset too small
sim_00207,ref global_offset too small
sim_00208,ref global_offset too small
sim_00209,ref global_offset too small
sim_00213,ref global_offset too small
sim_00215,ref global_offset too small
sim_00218,ref global_offset too small
sim_00221,ref global_offset too small
sim_00223,ref global_offset too small
sim_00224,ref global_offset too small
sim_00225,ref global_offset too small
sim_00227,ref global_offset too small
sim_00228,ref global_offset too small
sim_00233,ref global_offset too small
sim_00234,ref global_offset too small
sim_00235,ref global_offset too small
sim_00237,ref global_offset too small
sim_00238,ref global_offset too small
sim_00239,ref global_offset too small
sim_00241,ref global_offset too small
sim_00242,ref global_offset too small
sim_00243,ref global_offset too small
sim_00244,ref global_offset too small
sim_00245,ref global_offset too small
sim_00246,ref global_offset too small
sim_00247,ref global_offset too small
sim_00248,ref global_offset too small
sim_00250,ref global_offset too small
sim_00252,ref global_offset too small
sim_00253,ref global_offset too small
sim_00254,ref global_offset too small
sim_00255,ref global_offset too small
sim_00256,ref global_offset too small
sim_00260,ref global_offset too small
sim_00261,ref global_offset too small
sim_00262,ref global_offset too small
sim_00263,ref global_offset too small
sim_00267,ref global_offset too small
sim_00268,ref global_offset too small
sim_00270,ref global_offset too small
sim_00271,ref global_offset too small
sim_00272,ref global_offset too small
sim_00273,ref global_offset too small
sim_00274,ref global_offset too small
sim_00275,ref global_offset too small
sim_00276,ref global_offset too small
sim_00277,ref global_offset too small
sim_00278,ref global_offset too small
sim_00282,ref global_offset too small
sim_00283,ref global_offset too small
sim_00284,ref global_offset too small
sim_00285,ref global_offset too small
sim_00290,ref global_offset too small
sim_00291,ref global_offset too small
sim_00292,ref global_offset too small
sim_00293,ref global_offset too small
sim_00294,ref global_offset too small
sim_00296,ref global_offset too small
sim_00299,ref global_offset too small
